source,target,maxflow,degree_centrality,link_type,closeness_centrality,eigenvector_centrality,id,length,betweenness_centrality,link_category,katz_centrality
P_B59,P_B58,8.04858752948556,0.004084967320261438,Power,0.0006951787154472793,-9.671960630649155e-19,P_L51,189.124,0.03335066179537815,Power line,-0.004316922031072373
P_B58,P_B57,7.983115294373814,0.0032679738562091504,Power,0.0006723732023760439,3.5438366433072495e-18,P_L52,197.546,0.03289967733398189,Power line,-0.00023436418199950545
P_B57,P_B61,7.914712177334703,0.004901960784313725,Power,0.000654979361680619,5.6361991839561445e-18,P_L53,121.28,0.032467851577734366,Power line,-0.013445183788487039
P_B61,P_B62,7.832709521220516,0.006535947712418301,Power,0.0006350458680781949,8.12752593819533e-18,P_L54,286.756,0.031164496157731283,Power line,-0.022619892595350043
P_B62,P_B63,7.694423909736002,0.005718954248366014,Power,0.0006133087227078824,1.8956696139797365e-17,P_L55,191.174,0.029935326662097948,Power line,-0.021093615708759266
P_B63,P_B64,7.609580991420503,0.005718954248366014,Power,0.0006038655603513119,4.3122748596917655e-17,P_L56,168.985,0.029110701176680392,Power line,-0.01929664273393323
P_B64,P_B65,7.5325618610821135,0.008169934640522876,Power,0.000607023199742768,7.379093978323901e-17,P_L57,289.955,0.030484692283641566,Power line,-0.020766272762962702
P_B65,P_B66,7.3551995482482795,0.007352941176470588,Power,0.0006146733206148689,5.569477377665196e-17,P_L58,122.759,0.03173983944691514,Power line,-0.018165034544947778
P_B66,P_B67,6.186063621382862,0.004084967320261438,Power,0.0006229208363573038,1.942274202736247e-17,P_L59,208.715,0.03977053371734487,Power line,-0.005240988836700486
P_B69,P_B70,3.0037532737510473,0.004901960784313725,Power,0.0006651717753203781,1.574521601472472e-18,P_L62,207.123,0.05521096847105682,Power line,-0.013375446193257905
P_B69,P_B61S,3.015888418978955,0.0032679738562091504,Power,0.0006493909876978224,-1.7920813728844376e-17,P_L61S,210.284,0.054947471833155924,Power line,-0.004983751495284554
P_B70,P_B71,2.0805643037896138,0.004901960784313725,Power,0.0006843486634229595,-2.22352803104975e-18,P_L63,197.642,0.05474958706938841,Power line,-0.02714405887939108
P_B74,P_B75,1.106599935789612,0.008986928104575163,Power,0.0006678795834709715,-1.303972847013279e-16,P_L66,262.855,0.01152194247558083,Power line,-0.01644533751976048
P_B74,P_B65S,1.1873718403226619,0.006535947712418301,Power,0.0007061874049159225,-5.51261917274317e-17,P_L65S,79.669,0.015833410793135005,Power line,0.03257372603156543
P_B75,P_B76,1.0443742030155019,0.008169934640522876,Power,0.000619492158617852,-1.5861890878180391e-16,P_L67,208.715,0.008024748613854417,Power line,-0.013275717040524888
P_B76,P_B77,0.9827850902947205,0.007352941176470588,Power,0.0005782482165583853,-1.5420069868864279e-16,P_L68,259.674,0.004484871011965272,Power line,-0.01325389426231531
P_B77,P_B78,0.9410181784999873,0.004901960784313725,Power,0.0005449385130570838,-1.1751673678386944e-16,P_L69,159.306,0.0018019516060666211,Power line,-0.010357479337129868
P_B79,P_B80,0.6423254821706283,0.005718954248366014,Power,0.0006961223154725782,-1.972138210258025e-17,P_L70,200.89,0.05600515605005023,Power line,-0.026396106174326098
P_B80,P_B81,0.601857029862152,0.006535947712418301,Power,0.0006478574492695415,-3.308135849309129e-17,P_L71,280.451,0.05362401199925975,Power line,-0.025229053152683364
P_B81,P_B82,0.561281807013747,0.006535947712418301,Power,0.0006015566398915353,-3.714923740423678e-17,P_L72,242.145,0.05121885834462773,Power line,-0.026228787395763873
P_B82,P_B83,0.5208486031320672,0.006535947712418301,Power,0.0005685920491729627,-7.83721729040758e-18,P_L73,178.537,0.048789695086154175,Power line,-0.027684537933996858
P_B83,P_B84,0.48057303704942267,0.007352941176470588,Power,0.0005409469114127765,1.2587934558143728e-17,P_L74,216.68,0.046336522223839084,Power line,-0.02809328152344062
P_B84,P_B85,0.20013576745513725,0.005718954248366014,Power,0.0005145171432024095,1.6021048400795974e-17,P_L75,189.701,0.028492043280070413,Power line,-0.007957459245737512
P_B84,P_B96,0.24015225905152682,0.007352941176470588,Power,0.000515151557823119,9.835083223649334e-18,P_L86,175.237,0.016855891915787312,Power line,-0.028841167912313243
P_B85,P_B86,0.2000925482524808,0.0032679738562091504,Power,0.0004903236579939233,3.120098447424851e-17,P_L76,214.632,0.02761296111614812,Power line,0.014810324132390463
P_B86,P_B87,0.20004316456579724,0.004901960784313725,Power,0.00047513836591138415,3.071909708197117e-17,P_L77,54.164,0.02673121121846566,Power line,-0.04228586242711478
P_B87,P_B88,0.03000040774999516,0.006535947712418301,Power,0.00046906813657553967,5.418498798014667e-18,P_L78,57.703,0.003820450304348628,Power line,-0.07572142240929502
P_B87,P_B89,0.010000068516707967,0.004901960784313725,Power,0.00046890011083330625,1.7860799994699483e-17,P_L79,60.62,0.0019155606196946554,Power line,-0.06954034202851178
P_B87,P_B90,0.16003014355013542,0.008169934640522876,Power,0.0004642728006797654,2.1141232006655952e-17,P_L80,152.967,0.020484265389403646,Power line,-0.04685588867885779
P_B90,P_B91,0.03000041011557571,0.008169934640522876,Power,0.0004533515520747945,1.692029543708494e-17,P_L81,58.141,0.003820450304348628,Power line,-0.026819179889064355
P_B90,P_B92,0.030000422761893252,0.008169934640522876,Power,0.0004532308589050775,1.696910891117581e-17,P_L82,60.536,0.003820450304348628,Power line,-0.029152209327286547
P_B90,P_B93,0.08000644545574616,0.008169934640522876,Power,0.00044921283824204245,2.2237600561516523e-17,P_L83,143.411,0.010403530587192154,Power line,-0.022534744114171085
P_B93,P_B94,0.030000360382386664,0.006535947712418301,Power,0.00043976112501420493,1.2950055693969208e-17,P_L84,48.738,0.003820450304348628,Power line,-0.054424076932773076
P_B93,P_B95,0.040000678572213635,0.007352941176470588,Power,0.0004393567685538355,1.3729079716199676e-17,P_L85,57.35,0.004768893546035358,Power line,-0.055517843599214856
P_B96,P_B97,0.2000942026085042,0.006535947712418301,Power,0.0004929085743634057,1.3685295248709968e-17,P_L87,184.823,0.014106600606093268,Power line,-0.029140402674658568
P_B97,P_B98,0.16005162020395255,0.006535947712418301,Power,0.00047203061154656677,8.888750293567187e-18,P_L88,181.637,0.011333299692557688,Power line,-0.029493839389742864
P_B98,P_B99,0.12002476076397438,0.006535947712418301,Power,0.00045246223892247885,1.4417704445170603e-17,P_L89,191.194,0.00853598917518057,Power line,-0.02854450926336556
P_B99,P_B100,0.08000877298174223,0.006535947712418301,Power,0.00043433244268893494,3.604050060436893e-17,P_L90,181.609,0.005714669053961917,Power line,-0.028057399444079013
P_B100,P_B101,0.04000192142126133,0.005718954248366014,Power,0.00041755144960695643,3.2222173853853784e-17,P_L91,191.194,0.002869339328901727,Power line,-0.032525063488587136
P_B102,P_B103,0.8843676330907217,0.00980392156862745,Power,0.0007068368969561656,-2.7197236943131428e-17,P_L92,238.959,0.053349307053754125,Power line,-0.025684138783917454
P_B102,P_B266S,0.9651087370368822,0.006535947712418301,Power,0.0007508982211882084,5.189991930756169e-18,P_L266S,134.216,0.05761557209757276,Power line,-0.05059607343992763
P_B103,P_B104,0.8032587792214885,0.008169934640522876,Power,0.0006536439076516398,-5.913424547201449e-17,P_L93,267.653,0.04901634866593122,Power line,-0.025952742473745266
P_B104,P_B105,0.7622314590912561,0.006535947712418301,Power,0.0006152635501789661,-2.0746505042784603e-17,P_L94,140.515,0.04638456082811543,Power line,-0.027382203043868104
P_B105,P_B106,0.7217439351830904,0.008169934640522876,Power,0.0005962059331453241,-5.721012919465185e-18,P_L95,82.9,0.0437287633864581,Power line,-0.030862448332660386
P_B106,P_B107,0.6414854869370188,0.00980392156862745,Power,0.0005746107517151113,-1.1568305436303774e-17,P_L96,191.83,0.03924907964182581,Power line,-0.031156749119280885
P_B107,P_B108,0.561013369278119,0.00980392156862745,Power,0.0005455497493382457,-1.9952154365906886e-17,P_L97,203.937,0.034702702553189246,Power line,-0.030732868447158092
P_B108,P_B109,0.48062888007802435,0.00980392156862745,Power,0.0005202106113150332,-2.7304602830564448e-17,P_L98,172.051,0.030089632120548417,Power line,-0.03202347091460008
P_B109,P_B110,0.4003903974294251,0.00980392156862745,Power,0.0004979860817861205,-3.707948904458967e-17,P_L99,188.089,0.025409868343903318,Power line,-0.031423199236842926
