source,target,closeness_centrality,length,link_category,betweenness_centrality,link_type,degree_centrality,maxflow,katz_centrality,id,eigenvector_centrality
P_B359,P_B360,0.0005310173679644958,86.555,Power line,0.024446605771672684,Power,0.005718954248366014,0.8958394396438641,0.1980688563860548,P_L362,-1.4401649294428813e-17
P_B360,P_B362,0.0005323360566464872,64.04,Power line,0.0028123279455520003,Power,0.005718954248366014,0.09000361371920608,0.011635295499023451,P_L364,-8.981329611181514e-18
P_B360,P_B363,0.0005187579941878817,281.976,Power line,0.02531468734242558,Power,0.006535947712418301,0.8817438331012843,0.026348076659765053,P_L365,-1.0813413921167892e-17
P_B363,P_B364,0.0004953753033997226,86.393,Power line,0.0018775530307948375,Power,0.004901960784313725,0.2500352422123074,-0.040394906257700224,P_L366,-2.942921154700012e-18
P_B363,P_B365,0.000496968369874318,62.211,Power line,0.021826354656852977,Power,0.006535947712418301,0.48032775900953106,-0.04686199548144866,P_L367,-2.052526209129743e-18
P_B365,P_B366,0.0004890395252950436,73.298,Power line,0.019182093938191733,Power,0.006535947712418301,0.4202370791697093,-0.03769957727207362,P_L368,-1.2139831083229664e-18
P_B366,P_B367,0.00048042902573613164,78.06,Power line,0.01651382361568895,Power,0.006535947712418301,0.36015525024798906,-0.038452220618687624,P_L369,-4.5788068963485276e-18
P_B367,P_B368,0.0004722349125793418,70.167,Power line,0.013821543689344636,Power,0.006535947712418301,0.3000911596933557,-0.038106567411863516,P_L370,1.1025519618069797e-18
P_B368,P_B369,0.0004642050344299285,79.669,Power line,0.011105254159158782,Power,0.006535947712418301,0.24005105802168197,-0.04006519485990885,P_L371,4.548205451530557e-18
P_B369,P_B370,0.0004566367301897321,65.316,Power line,0.00836495502513139,Power,0.006535947712418301,0.1800218439161343,-0.04255101238421685,P_L372,-4.08159343212278e-18
P_B370,P_B371,0.0004497656316090364,70.113,Power line,0.005600646287262464,Power,0.006535947712418301,0.12000824567423198,-0.04215016469303322,P_L373,1.637801925059974e-18
P_B371,P_B372,0.0004432094620682251,62.211,Power line,0.0028123279455520003,Power,0.005718954248366014,0.060001638445810086,-0.04527420274713914,P_L374,5.875486532450188e-19
P_B348,P_B349,0.0005222605266064818,371.306,Power line,0.0028537565157288505,Power,0.005718954248366014,0.04000376199351467,-0.014445544174751516,P_L376,3.3738710591216476e-06
P_B374,P_B375,0.0005799329522319155,81.458,Power line,0.0009746830352420916,Power,0.0032679738562091504,5.7335532182472074e-11,-0.003226341222560271,P_L379,-1.732581411293728e-18
P_B374,P_B376,0.0005796012343610678,85.506,Power line,0.0009746830352420916,Power,0.0032679738562091504,6.592753459041395e-11,-0.008647616695490858,P_L380,-1.2369189954714911e-18
P_B374,P_B385S,0.0005962374355759827,106.928,Power line,0.002916045904445763,Power,0.004084967320261438,2.327447700062671e-09,-0.03733698507027314,P_L385S,-1.9917649844610855e-18
P_B51,P_B52,0.000646229533133294,162.5,Power line,0.09065935983361444,Power,0.006535947712418301,4.644925600003882,-0.019391678960249778,P_L600,-6.779064647611167e-18
P_B52,P_B53,0.0006325041466987217,216.68,Power line,0.07021663820964584,Power,0.006535947712418301,4.001765306222939,-0.015725168031531078,P_L599,-2.8833363447677175e-18
P_B378,P_B379,0.0006780877608671548,208.224,Power line,0.00805434771564876,Power,0.0032679738562091504,0.25069242753516985,0.000984745200557642,P_L387,-3.56266598000578e-17
P_B378,P_B386S,0.0007237913194599961,171.202,Power line,0.009049136378184088,Power,0.0032679738562091504,0.2507521058608585,-0.026455359845602794,P_L386S,-2.130147228700752e-17
P_B379,P_B380,0.0006365012085679451,179.501,Power line,0.007056891319353263,Power,0.0032679738562091504,0.2506193241259981,0.012213513321609014,P_L388,-3.672400426081002e-17
P_B380,P_B381,0.0005990764448005274,218.994,Power line,0.006056767189297594,Power,0.0032679738562091504,0.25055584062811304,-0.009511442777040984,P_L389,-3.431171316219046e-17
P_B381,P_B382,0.0005597355918489483,256.132,Power line,0.005053975325481756,Power,0.0032679738562091504,0.2504778005998092,-0.020575726969352552,P_L390,-5.6189101096732254e-18
P_B382,P_B383,0.0005202308454858842,291.997,Power line,0.004048515727905746,Power,0.0032679738562091504,0.25038569234026936,-0.0010920870620206172,P_L391,4.080216671481437e-17
P_B383,P_B384,0.0004844131890210016,277.627,Power line,0.0030403883965695656,Power,0.0032679738562091504,0.25027957181519495,0.01101845123340561,P_L392,8.91364271613532e-17
P_B384,P_B385,0.0004448849738360903,473.881,Power line,0.0020295933314732144,Power,0.0032679738562091504,0.25017755273035014,-0.0021688140043576425,P_L393,1.2693470875625733e-16
P_B5S,P_B5,0.0008261064651853474,234.982,Power line,0.04686589830634402,Power,0.004901960784313725,8.08189669792197,-0.03440313853244222,P_L5S,1.3368562022895927e-18
P_B9S,P_B9,0.0008946666426192933,180.016,Power line,0.04490995730974682,Power,0.004901960784313725,3.85793313833083,-0.01402910227532992,P_L9S,-4.749148862119835e-18
P_B23S,P_B28,0.0008751893679201982,202.419,Power line,0.044900372258278316,Power,0.005718954248366014,0.1440460043854244,-0.03504614983923914,P_L23S,1.2253191109964901e-17
P_B60S,P_B68,0.0006404764226033746,192.76,Power line,0.03853894943394025,Power,0.004901960784313725,4.552234801407373,-0.013050841827765877,P_L60S,6.231375153147316e-18
P_B64S,P_B72,0.0007109251332662979,175.237,Power line,0.053002371096652366,Power,0.004901960784313725,1.6941709892584258,-0.014434853286143487,P_L64S,1.2092225762093417e-18
P_B274S,P_B154,0.0007958501448728888,135.234,Power line,0.001723743126808015,Power,0.0032679738562091504,0.030000857037864048,-0.042489367659806744,P_L274S,-4.513564030136749e-19
P_B276S,P_B159,0.0007401016234427811,128.196,Power line,0.0017071357148002431,Power,0.0032679738562091504,0.030000820808742352,-0.03823941065606986,P_L276S,3.534093338607913e-18
P_B280S,P_B167,0.0006716126300031103,107.6,Power line,0.0017259191598544936,Power,0.0032679738562091504,0.15001577767297114,-0.04225270248747491,P_L280S,-8.635225489694741e-19
P_B283S,P_B168,0.0006481765843734156,147.78,Power line,0.001991794777978686,Power,0.0032679738562091504,0.22504786799637086,-0.030675296633433935,P_L283S,6.991427115148346e-18
P_B303S,P_B73,0.0007347390957902487,203.937,Power line,0.049110166822669825,Power,0.005718954248366014,0.06000481712950781,-0.03638383129514375,P_L303S,-4.081350406017187e-17
W_JIN0,W_JIN10,0.0008724109566104611,52.355,Water pipe,0.02554245837209377,Water,0.0038071065989847713,0.0148827245109555,-0.008143964039592225,W_PMA477,-8.614607074598299e-18
W_JIN0,W_JVN838,0.000871436972898808,168.932,Water pipe,0.025447502003740314,Water,0.0031725888324873096,0.0146682178423784,-0.012056436970887215,W_PMA478,-1.322203808585881e-17
W_JIN2,W_JIN840,0.0008708219586706688,34.144,Water pipe,0.02543784542390776,Water,0.0038071065989847713,0.0146682178423784,-0.01155564723656255,W_PMA480,-2.6182793707308115e-18
