source,target,id,link_type,betweenness_centrality,cluster_num,katz_centrality,maxflow,length,link_category,degree_centrality,eigenvector_centrality,closeness_centrality,cluster
P_B25,P_B26,P_L21,Power,0.04217015490685207,2,-0.017230723485166875,3.0505790530557295,168.872,Power line,0.007352941176470588,-6.803204166609957e-18,0.0008799997959440479,power2
P_B25,P_B20S,P_L20S,Power,0.042526821926687344,2,-0.047442391933507355,3.1047006339729184,228.617,Power line,0.004901960784313725,-1.1521493759622585e-17,0.0008924320907054805,power2
P_B26,P_B27,P_L22,Power,0.04718510752282684,2,-0.023532159786428655,2.279475808522214,208.746,Power line,0.006535947712418301,-2.7076005646983167e-17,0.0008689469614576503,power2
P_B29,P_B30,P_L25,Power,0.06988551499701444,2,-0.0032830728785939994,3.174933400441106,57.372,Power line,0.004901960784313725,1.902247722466292e-17,0.0008186048680718945,power2
P_B29,P_B24S,P_L24S,Power,0.07595886865488383,2,-0.04969391087310201,3.919629804451866,130.641,Power line,0.004901960784313725,5.031879190319102e-17,0.0008390682527095084,power2
P_B30,P_B31,P_L26,Power,0.0693117870927668,2,0.0033104908730117507,3.1711101518135774,76.467,Power line,0.004084967320261438,-2.0271452970497732e-17,0.0008037127859216417,power2
P_B31,P_B32,P_L27,Power,0.06471149077713768,2,-0.022291381159217905,2.5245110238432065,124.3,Power line,0.005718954248366014,-2.5726478338664665e-17,0.0007811594364523165,power2
P_B32,P_B34,P_L29,Power,0.05816522165506828,2,-0.021007136966913368,1.7877437425842144,149.782,Power line,0.006535947712418301,-9.999346061712018e-18,0.0007497823150833513,power2
P_B34,P_B36,P_L30,Power,0.04603359245818282,2,-0.04922827449560098,1.0530620444227932,138.606,Power line,0.005718954248366014,1.0949448994748843e-17,0.0007167733720650441,power2
P_B36,P_B37,P_L32,Power,0.022306573597354797,1,-0.05140203718380971,0.41054020340513825,156.122,Power line,0.004901960784313725,1.2107204188472422e-17,0.0006835360685983508,power1
P_B38,P_B39,P_L34,Power,0.057109256137350774,2,-0.014520579817716834,3.0844818112296317,184.905,Power line,0.006535947712418301,-1.3932875310226594e-17,0.0008400788598470509,power2
P_B38,P_B33S,P_L33S,Power,0.07104840398073292,2,-0.0059282621795666065,2.3755691472432052,190.378,Power line,0.004084967320261438,-3.7126925513487766e-17,0.0008493205431800868,power2
P_B39,P_B40,P_L35,Power,0.023021455978224626,1,-0.03376305286427951,0.3204977542373339,192.76,Power line,0.006535947712418301,1.4228002444973167e-18,0.0008256487608604967,power1
P_B41,P_B42,P_L37,Power,0.011806280902660544,1,0.014097119728397967,2.0260270520183083,54.538,Power line,0.004901960784313725,1.484345165112206e-17,0.0007899403040640419,power1
P_B41,P_B54,P_L46,Power,0.017491493566013646,1,-0.0038108577005070885,2.0260270531964384,164.507,Power line,0.005718954248366014,6.968651910835264e-18,0.0008014902540846337,power1
P_B41,P_B36S,P_L36S,Power,0.017475542829436464,1,-0.018223254637039096,2.044502372917283e-13,229.406,Power line,0.004084967320261438,1.6554984675865375e-17,0.0008071477895350563,power1
