W_WP1	W_WP2	W_WP3	W_WP4	W_WP5	W_WP6	W_WP7	W_WP8	time
1	1	1	1	1	0	0	1	60000
1	1	1	1	1	0	0	1	60600
1	1	1	1	1	0	0	1	61200
1	1	1	1	1	0	0	1	61800
1	1	1	1	1	0	0	1	62100
1	1	1	1	1	0	0	1	62400
1	1	1	1	1	0	0	1	63000
1	1	1	1	1	0	0	1	63600
1	1	1	1	1	0	0	1	64200
1	1	1	1	1	0	0	1	64380
1	1	1	1	1	0	0	1	64620
1	1	1	1	1	0	0	1	64800
1	1	1	1	1	0	0	1	65400
1	1	1	1	1	0	0	1	66000
1	1	1	1	1	0	0	1	66600
1	1	1	1	1	0	0	1	67200
1	1	1	1	1	0	0	1	67800
1	1	1	1	1	0	0	1	68400
1	1	1	1	1	0	0	1	69000
1	1	1	1	1	0	0	1	69600
1	1	1	1	1	0	0	1	70200
1	1	1	1	1	0	0	1	70800
1	1	1	1	1	0	0	1	71400
1	1	1	1	1	0	0	1	72000
1	1	1	1	1	0	0	1	72420
1	1	1	1	1	0	0	1	72600
1	1	1	1	1	0	0	1	73200
1	1	1	1	1	0	0	1	73260
1	1	1	1	1	0	0	1	73380
1	1	1	1	1	0	0	1	73500
1	1	1	1	1	0	0	1	73800
1	1	1	1	1	0	0	1	74400
1	1	1	1	1	0	0	1	75000
1	1	1	1	1	0	0	1	75600
1	1	1	1	1	0	0	1	76200
1	1	1	1	1	0	0	1	76800
1	1	1	1	1	0	0	1	77400
1	1	1	1	1	0	0	1	78000
1	1	1	1	1	0	0	1	78600
1	1	1	1	1	0	0	1	79200
1	1	1	1	1	0	0	1	79800
1	1	1	1	1	0	0	1	80400
1	1	1	1	1	0	0	1	81000
1	1	1	1	1	0	0	1	81600
1	1	1	1	1	0	0	1	82200
1	1	1	1	1	0	0	1	82500
1	1	1	1	1	0	0	1	82800
1	1	1	1	1	0	0	1	83400
1	1	1	1	1	0	0	1	84000
1	1	1	1	1	0	0	1	84600
1	1	1	1	1	0	0	1	85200
1	1	1	1	1	0	0	1	85800
1	1	1	1	1	0	0	1	86400
1	1	1	1	1	0	0	1	86700
1	1	1	1	1	0	0	1	86820
1	1	1	1	1	0	0	1	87000
1	1	1	1	1	0	0	1	87600
1	1	1	1	1	0	0	1	88200
1	1	1	1	1	0	0	1	88800
1	1	1	1	1	0	0	1	89400
1	1	1	1	1	0	0	1	90000
1	1	1	1	1	0	0	1	90600
1	1	1	1	1	0	0	1	91200
1	1	1	1	1	0	0	1	91800
1	1	1	1	1	0	0	1	92400
1	1	1	1	1	0	0	1	92580
